entry_utc,event_slug,city,target_date,n_buckets_theoretical,sum_ask_theoretical,shares_theoretical,sum_ask_actual,shares_filled,cost_actual,fee_est,locked_profit_actual,status,order_ids,note
2026-07-29T19:44:43Z,highest-temperature-in-houston-on-july-29-2026,houston,2026-07-29,11,0.969,5.16,,,,,,skipped,,do sau THAT khong du (o '94-95°F' chi kha dung 0.00/5.16 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.180 > gia toi da chap nhan 0.133 (Gamma bao gia 0.130 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T19:45:11Z,highest-temperature-in-houston-on-july-29-2026,houston,2026-07-29,11,0.969,5.16,,,,,,skipped,,do sau THAT khong du (o '94-95°F' chi kha dung 0.00/5.16 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.180 > gia toi da chap nhan 0.133 (Gamma bao gia 0.130 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T19:45:47Z,highest-temperature-in-houston-on-july-29-2026,houston,2026-07-29,11,0.969,5.16,,,,,,skipped,,do sau THAT khong du (o '94-95°F' chi kha dung 0.00/5.16 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.180 > gia toi da chap nhan 0.133 (Gamma bao gia 0.130 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T19:46:15Z,highest-temperature-in-houston-on-july-29-2026,houston,2026-07-29,11,0.969,5.16,,,,,,skipped,,do sau THAT khong du (o '94-95°F' chi kha dung 0.00/5.16 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.180 > gia toi da chap nhan 0.133 (Gamma bao gia 0.130 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T19:46:50Z,highest-temperature-in-houston-on-july-29-2026,houston,2026-07-29,11,0.969,5.16,,,,,,skipped,,do sau THAT khong du (o '94-95°F' chi kha dung 0.00/5.16 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.180 > gia toi da chap nhan 0.133 (Gamma bao gia 0.130 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T19:47:18Z,highest-temperature-in-houston-on-july-29-2026,houston,2026-07-29,11,0.969,5.16,,,,,,skipped,,do sau THAT khong du (o '94-95°F' chi kha dung 0.00/5.16 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.180 > gia toi da chap nhan 0.133 (Gamma bao gia 0.130 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T19:47:54Z,highest-temperature-in-houston-on-july-29-2026,houston,2026-07-29,11,0.969,5.16,,,,,,skipped,,do sau THAT khong du (o '94-95°F' chi kha dung 0.00/5.16 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.180 > gia toi da chap nhan 0.133 (Gamma bao gia 0.130 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T19:48:23Z,highest-temperature-in-houston-on-july-29-2026,houston,2026-07-29,11,0.969,5.16,,,,,,skipped,,do sau THAT khong du (o '94-95°F' chi kha dung 0.00/5.16 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.180 > gia toi da chap nhan 0.133 (Gamma bao gia 0.130 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T20:34:17Z,highest-temperature-in-atlanta-on-july-29-2026,atlanta,2026-07-29,11,0.938,5.33,,,,,,skipped,,do sau THAT khong du (o '90-91°F' chi kha dung 0.00/5.33 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.290 > gia toi da chap nhan 0.286 (Gamma bao gia 0.280 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T20:34:53Z,highest-temperature-in-atlanta-on-july-29-2026,atlanta,2026-07-29,11,0.938,5.33,,,,,,skipped,,do sau THAT khong du (o '88-89°F' chi kha dung 0.00/5.33 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.640 > gia toi da chap nhan 0.530 (Gamma bao gia 0.520 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T20:35:22Z,highest-temperature-in-atlanta-on-july-29-2026,atlanta,2026-07-29,11,0.938,5.33,,,,,,skipped,,do sau THAT khong du (o '88-89°F' chi kha dung 0.00/5.33 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.630 > gia toi da chap nhan 0.530 (Gamma bao gia 0.520 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T20:35:57Z,highest-temperature-in-atlanta-on-july-29-2026,atlanta,2026-07-29,11,0.938,5.33,,,,,,skipped,,do sau THAT khong du (o '88-89°F' chi kha dung 0.00/5.33 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.660 > gia toi da chap nhan 0.530 (Gamma bao gia 0.520 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T20:36:26Z,highest-temperature-in-atlanta-on-july-29-2026,atlanta,2026-07-29,11,0.938,5.33,,,,,,skipped,,do sau THAT khong du (o '88-89°F' chi kha dung 0.00/5.33 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.660 > gia toi da chap nhan 0.530 (Gamma bao gia 0.520 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T20:37:01Z,highest-temperature-in-atlanta-on-july-29-2026,atlanta,2026-07-29,11,0.938,5.33,,,,,,skipped,,do sau THAT khong du (o '88-89°F' chi kha dung 0.00/5.33 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.650 > gia toi da chap nhan 0.530 (Gamma bao gia 0.520 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T20:37:30Z,highest-temperature-in-atlanta-on-july-29-2026,atlanta,2026-07-29,11,0.938,5.33,,,,,,skipped,,do sau THAT khong du (o '88-89°F' chi kha dung 0.00/5.33 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.650 > gia toi da chap nhan 0.530 (Gamma bao gia 0.520 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T20:38:05Z,highest-temperature-in-atlanta-on-july-29-2026,atlanta,2026-07-29,11,0.938,5.33,,,,,,skipped,,do sau THAT khong du (o '88-89°F' chi kha dung 0.00/5.33 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.650 > gia toi da chap nhan 0.530 (Gamma bao gia 0.520 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T20:38:34Z,highest-temperature-in-atlanta-on-july-29-2026,atlanta,2026-07-29,11,0.938,5.33,,,,,,skipped,,do sau THAT khong du (o '88-89°F' chi kha dung 0.00/5.33 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.660 > gia toi da chap nhan 0.530 (Gamma bao gia 0.520 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T21:25:19Z,lowest-temperature-in-paris-on-july-30-2026,paris,2026-07-30,11,0.944,5.3,,,,,,skipped,,do sau THAT khong du (o '19°C' chi kha dung 0.00/5.30 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.160 > gia toi da chap nhan 0.153 (Gamma bao gia 0.150 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T21:25:56Z,lowest-temperature-in-paris-on-july-30-2026,paris,2026-07-30,11,0.944,5.3,,,,,,skipped,,do sau THAT khong du (o '19°C' chi kha dung 0.00/5.30 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.170 > gia toi da chap nhan 0.153 (Gamma bao gia 0.150 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T21:26:24Z,lowest-temperature-in-paris-on-july-30-2026,paris,2026-07-30,11,0.944,5.3,,,,,,skipped,,do sau THAT khong du (o '19°C' chi kha dung 0.00/5.30 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.180 > gia toi da chap nhan 0.153 (Gamma bao gia 0.150 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T21:27:00Z,lowest-temperature-in-paris-on-july-30-2026,paris,2026-07-30,11,0.944,5.3,,,,,,skipped,,do sau THAT khong du (o '19°C' chi kha dung 0.00/5.30 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.180 > gia toi da chap nhan 0.153 (Gamma bao gia 0.150 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T21:27:29Z,lowest-temperature-in-paris-on-july-30-2026,paris,2026-07-30,11,0.944,5.3,,,,,,skipped,,do sau THAT khong du (o '19°C' chi kha dung 0.00/5.30 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.180 > gia toi da chap nhan 0.153 (Gamma bao gia 0.150 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T21:28:04Z,lowest-temperature-in-paris-on-july-30-2026,paris,2026-07-30,11,0.944,5.3,,,,,,skipped,,do sau THAT khong du (o '19°C' chi kha dung 0.00/5.30 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.180 > gia toi da chap nhan 0.153 (Gamma bao gia 0.150 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T21:28:34Z,lowest-temperature-in-paris-on-july-30-2026,paris,2026-07-30,11,0.944,5.3,,,,,,skipped,,do sau THAT khong du (o '19°C' chi kha dung 0.00/5.30 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.180 > gia toi da chap nhan 0.153 (Gamma bao gia 0.150 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T21:29:09Z,lowest-temperature-in-paris-on-july-30-2026,paris,2026-07-30,11,0.944,5.3,,,,,,skipped,,do sau THAT khong du (o '19°C' chi kha dung 0.00/5.30 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.180 > gia toi da chap nhan 0.153 (Gamma bao gia 0.150 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T21:29:39Z,lowest-temperature-in-paris-on-july-30-2026,paris,2026-07-30,11,0.944,5.3,,,,,,skipped,,do sau THAT khong du (o '19°C' chi kha dung 0.00/5.30 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.180 > gia toi da chap nhan 0.153 (Gamma bao gia 0.150 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T21:30:15Z,lowest-temperature-in-paris-on-july-30-2026,paris,2026-07-30,11,0.944,5.3,,,,,,skipped,,do sau THAT khong du (o '19°C' chi kha dung 0.00/5.30 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.180 > gia toi da chap nhan 0.153 (Gamma bao gia 0.150 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T21:39:42Z,highest-temperature-in-austin-on-july-29-2026,austin,2026-07-29,11,0.962,5.2,,,,,,skipped,,do sau THAT khong du (o '96-97°F' chi kha dung 0.00/5.20 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.500 > gia toi da chap nhan 0.469 (Gamma bao gia 0.460 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T21:40:17Z,highest-temperature-in-austin-on-july-29-2026,austin,2026-07-29,11,0.962,5.2,,,,,,skipped,,do sau THAT khong du (o '96-97°F' chi kha dung 0.00/5.20 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.500 > gia toi da chap nhan 0.469 (Gamma bao gia 0.460 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T21:40:45Z,highest-temperature-in-austin-on-july-29-2026,austin,2026-07-29,11,0.962,5.2,,,,,,skipped,,do sau THAT khong du (o '96-97°F' chi kha dung 0.00/5.20 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.540 > gia toi da chap nhan 0.469 (Gamma bao gia 0.460 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T21:41:20Z,highest-temperature-in-austin-on-july-29-2026,austin,2026-07-29,11,0.962,5.2,,,,,,skipped,,do sau THAT khong du (o '96-97°F' chi kha dung 0.00/5.20 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.540 > gia toi da chap nhan 0.469 (Gamma bao gia 0.460 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T21:41:48Z,highest-temperature-in-austin-on-july-29-2026,austin,2026-07-29,11,0.962,5.2,,,,,,skipped,,do sau THAT khong du (o '96-97°F' chi kha dung 0.00/5.20 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.530 > gia toi da chap nhan 0.469 (Gamma bao gia 0.460 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T21:42:23Z,highest-temperature-in-austin-on-july-29-2026,austin,2026-07-29,11,0.962,5.2,,,,,,skipped,,do sau THAT khong du (o '96-97°F' chi kha dung 0.00/5.20 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.530 > gia toi da chap nhan 0.469 (Gamma bao gia 0.460 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T21:42:51Z,highest-temperature-in-austin-on-july-29-2026,austin,2026-07-29,11,0.962,5.2,,,,,,skipped,,do sau THAT khong du (o '96-97°F' chi kha dung 0.00/5.20 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.530 > gia toi da chap nhan 0.469 (Gamma bao gia 0.460 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T21:43:26Z,highest-temperature-in-austin-on-july-29-2026,austin,2026-07-29,11,0.962,5.2,,,,,,skipped,,do sau THAT khong du (o '96-97°F' chi kha dung 0.00/5.20 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.530 > gia toi da chap nhan 0.469 (Gamma bao gia 0.460 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T21:43:54Z,highest-temperature-in-austin-on-july-29-2026,austin,2026-07-29,11,0.962,5.2,,,,,,skipped,,do sau THAT khong du (o '96-97°F' chi kha dung 0.00/5.20 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.530 > gia toi da chap nhan 0.469 (Gamma bao gia 0.460 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T23:20:38Z,highest-temperature-in-dallas-on-july-30-2026,dallas,2026-07-30,11,0.96,5.21,,,,,,skipped,,do sau THAT khong du (o '102-103°F' chi kha dung 0.00/5.21 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.180 > gia toi da chap nhan 0.112 (Gamma bao gia 0.110 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T23:21:12Z,highest-temperature-in-dallas-on-july-30-2026,dallas,2026-07-30,11,0.96,5.21,,,,,,skipped,,do sau THAT khong du (o '102-103°F' chi kha dung 0.00/5.21 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.180 > gia toi da chap nhan 0.112 (Gamma bao gia 0.110 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T23:21:39Z,highest-temperature-in-dallas-on-july-30-2026,dallas,2026-07-30,11,0.96,5.21,,,,,,skipped,,do sau THAT khong du (o '97°F or below' chi kha dung 0.00/5.21 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.030 > gia toi da chap nhan 0.009 (Gamma bao gia 0.009 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T23:22:14Z,highest-temperature-in-dallas-on-july-30-2026,dallas,2026-07-30,11,0.96,5.21,,,,,,skipped,,do sau THAT khong du (o '97°F or below' chi kha dung 0.00/5.21 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.029 > gia toi da chap nhan 0.009 (Gamma bao gia 0.009 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T23:22:41Z,highest-temperature-in-dallas-on-july-30-2026,dallas,2026-07-30,11,0.96,5.21,,,,,,skipped,,do sau THAT khong du (o '97°F or below' chi kha dung 0.00/5.21 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.029 > gia toi da chap nhan 0.009 (Gamma bao gia 0.009 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T23:23:15Z,highest-temperature-in-dallas-on-july-30-2026,dallas,2026-07-30,11,0.96,5.21,,,,,,skipped,,do sau THAT khong du (o '97°F or below' chi kha dung 0.00/5.21 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.029 > gia toi da chap nhan 0.009 (Gamma bao gia 0.009 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T23:23:42Z,highest-temperature-in-dallas-on-july-30-2026,dallas,2026-07-30,11,0.96,5.21,,,,,,skipped,,do sau THAT khong du (o '97°F or below' chi kha dung 0.00/5.21 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.029 > gia toi da chap nhan 0.009 (Gamma bao gia 0.009 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T23:24:16Z,highest-temperature-in-dallas-on-july-30-2026,dallas,2026-07-30,11,0.96,5.21,,,,,,skipped,,do sau THAT khong du (o '97°F or below' chi kha dung 0.00/5.21 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.029 > gia toi da chap nhan 0.009 (Gamma bao gia 0.009 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T23:24:43Z,highest-temperature-in-dallas-on-july-30-2026,dallas,2026-07-30,11,0.96,5.21,,,,,,skipped,,do sau THAT khong du (o '97°F or below' chi kha dung 0.00/5.21 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.029 > gia toi da chap nhan 0.009 (Gamma bao gia 0.009 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T23:25:18Z,highest-temperature-in-dallas-on-july-30-2026,dallas,2026-07-30,11,0.96,5.21,,,,,,skipped,,do sau THAT khong du (o '97°F or below' chi kha dung 0.00/5.21 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.029 > gia toi da chap nhan 0.009 (Gamma bao gia 0.009 nhung so lenh that dang ban dat hon) -> BO QUA
